"","case","cc3","country","year","gold_standard","independence","banking_crisis","systemic_crisis","domestic_debt_in_default","currency_crises","inflation_crises","external_default_ex_1975","external_default_in_1975","crisis_tally","cown","country_name"
"220",2,"AGO","Angola",1802,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"221",2,"AGO","Angola",1803,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"222",2,"AGO","Angola",1804,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"223",2,"AGO","Angola",1805,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"224",2,"AGO","Angola",1806,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"225",2,"AGO","Angola",1807,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"226",2,"AGO","Angola",1808,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"227",2,"AGO","Angola",1809,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"228",2,"AGO","Angola",1810,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"229",2,"AGO","Angola",1811,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"230",2,"AGO","Angola",1812,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"231",2,"AGO","Angola",1813,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"232",2,"AGO","Angola",1814,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"233",2,"AGO","Angola",1815,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"234",2,"AGO","Angola",1816,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"235",2,"AGO","Angola",1817,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"236",2,"AGO","Angola",1818,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"237",2,"AGO","Angola",1819,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"238",2,"AGO","Angola",1820,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"239",2,"AGO","Angola",1821,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"240",2,"AGO","Angola",1822,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"241",2,"AGO","Angola",1823,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"242",2,"AGO","Angola",1824,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"243",2,"AGO","Angola",1825,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"244",2,"AGO","Angola",1826,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"245",2,"AGO","Angola",1827,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"246",2,"AGO","Angola",1828,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"247",2,"AGO","Angola",1829,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"248",2,"AGO","Angola",1830,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"249",2,"AGO","Angola",1831,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"250",2,"AGO","Angola",1832,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"251",2,"AGO","Angola",1833,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"252",2,"AGO","Angola",1834,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"253",2,"AGO","Angola",1835,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"254",2,"AGO","Angola",1836,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"255",2,"AGO","Angola",1837,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"256",2,"AGO","Angola",1838,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"257",2,"AGO","Angola",1839,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"258",2,"AGO","Angola",1840,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"259",2,"AGO","Angola",1841,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"260",2,"AGO","Angola",1842,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"261",2,"AGO","Angola",1843,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"262",2,"AGO","Angola",1844,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"263",2,"AGO","Angola",1845,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"264",2,"AGO","Angola",1846,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"265",2,"AGO","Angola",1847,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"266",2,"AGO","Angola",1848,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"267",2,"AGO","Angola",1849,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"268",2,"AGO","Angola",1850,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"269",2,"AGO","Angola",1851,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"270",2,"AGO","Angola",1852,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"271",2,"AGO","Angola",1853,0,0,0,0,0,0,0,0,0,0,540,"Angola"
"272",2,"AGO","Angola",1854,1,0,0,0,0,0,0,0,0,0,540,"Angola"
"273",2,"AGO","Angola",1855,1,0,0,0,0,0,0,0,0,0,540,"Angola"
"274",2,"AGO","Angola",1856,1,0,0,0,0,0,0,0,0,0,540,"Angola"
"275",2,"AGO","Angola",1857,1,0,0,0,0,0,0,0,0,0,540,"Angola"
"276",2,"AGO","Angola",1858,1,0,0,0,0,0,0,0,0,0,540,"Angola"
"277",2,"AGO","Angola",1859,1,0,0,0,0,0,0,0,0,0,540,"Angola"
"278",2,"AGO","Angola",1860,1,0,0,0,0,0,0,0,0,0,540,"Angola"
"279",2,"AGO","Angola",1861,1,0,0,0,0,0,0,0,0,0,540,"Angola"
"280",2,"AGO","Angola",1862,1,0,0,0,0,0,0,0,0,0,540,"Angola"
